"transit_timestamp","transit_mode","station_complex_id","station_complex","borough","payment_method","fare_class_category","ridership","transfers","latitude","longitude","georeference"
"2025-03-31T18:00:00.000","subway","188","Euclid Av (A,C)","Brooklyn","omny","OMNY - Full Fare","52.0","9.0","40.675377","-73.87211","POINT (-73.87211 40.675377)"
"2025-03-31T18:00:00.000","subway","188","Euclid Av (A,C)","Brooklyn","omny","OMNY - Seniors & Disability","7.0","2.0","40.675377","-73.87211","POINT (-73.87211 40.675377)"
"2025-03-31T18:00:00.000","subway","188","Euclid Av (A,C)","Brooklyn","omny","OMNY - Students","20.0","1.0","40.675377","-73.87211","POINT (-73.87211 40.675377)"
"2025-03-31T18:00:00.000","subway","189","Grant Av (A)","Brooklyn","metrocard","Metrocard - Fair Fare","13.0","0.0","40.677044","-73.86505","POINT (-73.86505 40.677044)"
"2025-03-31T18:00:00.000","subway","189","Grant Av (A)","Brooklyn","metrocard","Metrocard - Full Fare","10.0","0.0","40.677044","-73.86505","POINT (-73.86505 40.677044)"
"2025-03-31T18:00:00.000","subway","189","Grant Av (A)","Brooklyn","metrocard","Metrocard - Other","5.0","0.0","40.677044","-73.86505","POINT (-73.86505 40.677044)"
"2025-03-31T18:00:00.000","subway","189","Grant Av (A)","Brooklyn","metrocard","Metrocard - Unlimited 30-Day","9.0","0.0","40.677044","-73.86505","POINT (-73.86505 40.677044)"
"2025-03-31T18:00:00.000","subway","189","Grant Av (A)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","10.0","0.0","40.677044","-73.86505","POINT (-73.86505 40.677044)"
"2025-03-31T18:00:00.000","subway","189","Grant Av (A)","Brooklyn","omny","OMNY - Full Fare","53.0","0.0","40.677044","-73.86505","POINT (-73.86505 40.677044)"
"2025-03-31T18:00:00.000","subway","189","Grant Av (A)","Brooklyn","omny","OMNY - Seniors & Disability","4.0","0.0","40.677044","-73.86505","POINT (-73.86505 40.677044)"
"2025-03-31T18:00:00.000","subway","189","Grant Av (A)","Brooklyn","omny","OMNY - Students","10.0","1.0","40.677044","-73.86505","POINT (-73.86505 40.677044)"
"2025-03-31T18:00:00.000","subway","190","80 St (A)","Queens","metrocard","Metrocard - Fair Fare","2.0","0.0","40.67937","-73.85899","POINT (-73.85899 40.67937)"
"2025-03-31T18:00:00.000","subway","190","80 St (A)","Queens","metrocard","Metrocard - Full Fare","9.0","1.0","40.67937","-73.85899","POINT (-73.85899 40.67937)"
"2025-03-31T18:00:00.000","subway","190","80 St (A)","Queens","metrocard","Metrocard - Other","2.0","0.0","40.67937","-73.85899","POINT (-73.85899 40.67937)"
"2025-03-31T18:00:00.000","subway","190","80 St (A)","Queens","metrocard","Metrocard - Unlimited 30-Day","5.0","0.0","40.67937","-73.85899","POINT (-73.85899 40.67937)"
"2025-03-31T18:00:00.000","subway","190","80 St (A)","Queens","metrocard","Metrocard - Unlimited 7-Day","6.0","0.0","40.67937","-73.85899","POINT (-73.85899 40.67937)"
"2025-03-31T18:00:00.000","subway","190","80 St (A)","Queens","omny","OMNY - Fair Fare","1.0","0.0","40.67937","-73.85899","POINT (-73.85899 40.67937)"
"2025-03-31T18:00:00.000","subway","190","80 St (A)","Queens","omny","OMNY - Full Fare","27.0","0.0","40.67937","-73.85899","POINT (-73.85899 40.67937)"
"2025-03-31T18:00:00.000","subway","190","80 St (A)","Queens","omny","OMNY - Seniors & Disability","3.0","0.0","40.67937","-73.85899","POINT (-73.85899 40.67937)"
"2025-03-31T18:00:00.000","subway","190","80 St (A)","Queens","omny","OMNY - Students","7.0","0.0","40.67937","-73.85899","POINT (-73.85899 40.67937)"
